pedido_id,data_pedido,cliente_id,cidade,estado,categoria,produto,quantidade,preco_unitario,valor_total,desconto,valor_final,forma_pagamento,status
PED00001,2024-02-22,CLI9935,Goiânia,GO,Roupas,Camiseta Polo,3,82.04,246.12,0.0,246.12,cartão crédito,cancelado
PED00002,2024-11-04,CLI4257,São Paulo,SP,Livros,O Senhor dos Aneis,1,65.62,65.62,0.0,65.62,boleto,em transporte
PED00003,2024-01-04,CLI7924,Belo Horizonte,MG,Alimentos,Whey Protein 2kg,2,191.87,383.74,0.0,383.74,cartão débito,entregue
PED00004,2024-07-02,CLI5333,Salvador,BA,Calçados,Tenis Nike,3,285.77,857.31,0.0,857.31,cartão crédito,em transporte
PED00005,2024-10-09,CLI6925,Porto Alegre,RS,Brinquedos,Carrinho Hot Wheels,1,59.06,59.06,0.0,59.06,pix,entregue
PED00006,2024-02-21,CLI5554,Fortaleza,CE,Roupas,Camiseta Polo,2,129.58,259.16,33.25,225.91,pix,em transporte
PED00007,2024-12-15,CLI2169,Goiânia,GO,Beleza,Perfume Importado,3,201.71,605.13,63.7,541.43,pix,em transporte
PED00008,2024-11-23,CLI4598,Florianópolis,SC,Calçados,Bota Couro,2,249.02,498.04,0.0,498.04,boleto,entregue
PED00009,2024-02-03,CLI6155,Curitiba,PR,Eletrônicos,Smartphone Samsung,1,3051.61,3051.61,0.0,3051.61,cartão crédito,em transporte
PED00010,2024-10-14,CLI5304,Manaus,AM,Brinquedos,Boneca Barbie,4,97.14,388.56,0.0,388.56,boleto,cancelado
PED00011,2024-09-09,CLI1771,Rio de Janeiro,RJ,Livros,Sapiens,4,58.1,232.4,4.82,227.58,cartão crédito,entregue
PED00012,2024-11-01,CLI9669,Recife,PE,Calçados,Bota Couro,4,378.92,1515.68,0.0,1515.68,cartão débito,cancelado
PED00013,2024-05-16,CLI6573,Goiânia,GO,Eletrônicos,Smart TV 50pol,1,2754.39,2754.39,0.0,2754.39,cartão crédito,entregue
PED00014,2024-09-13,CLI9317,Belo Horizonte,MG,Livros,O Senhor dos Aneis,4,60.19,240.76,25.99,214.77,cartão crédito,processando
PED00015,2024-03-23,CLI9689,Manaus,AM,Esporte,Tenis Running,5,543.59,2717.95,0.0,2717.95,cartão crédito,cancelado
PED00016,2024-06-06,CLI1949,Curitiba,PR,Beleza,Kit Skincare,1,93.42,93.42,0.0,93.42,cartão crédito,cancelado
PED00017,2024-03-05,CLI8787,Belo Horizonte,MG,Roupas,Camiseta Polo,4,133.44,533.76,42.65,491.11,pix,entregue
PED00018,2024-10-03,CLI4295,Florianópolis,SC,Esporte,Tenis Running,5,469.26,2346.3,0.0,2346.3,boleto,entregue
PED00019,2024-03-02,CLI4681,Curitiba,PR,Livros,Sapiens,3,61.91,185.73,0.0,185.73,cartão crédito,entregue
PED00020,2024-02-06,CLI1964,Florianópolis,SC,Eletrônicos,Smart TV 50pol,5,2122.16,10610.8,0.0,10610.8,cartão crédito,entregue
PED00021,2024-09-05,CLI9834,Curitiba,PR,Eletrônicos,Fone Bluetooth,1,278.54,278.54,0.0,278.54,cartão crédito,em transporte
PED00022,2024-07-27,CLI2545,Curitiba,PR,Informática,SSD 1TB,4,397.2,1588.8,0.0,1588.8,cartão crédito,em transporte
PED00023,2024-11-30,CLI2612,Goiânia,GO,Livros,Python para Dados,4,112.89,451.56,3.67,447.89,cartão crédito,entregue
PED00024,2024-03-12,CLI4006,Fortaleza,CE,Beleza,Perfume Importado,2,164.07,328.14,0.0,328.14,cartão débito,entregue
PED00025,2024-11-29,CLI1241,Manaus,AM,Casa e Jardim,Jogo de Panelas,4,352.01,1408.04,20.68,1387.36,cartão crédito,processando
PED00026,2024-07-24,CLI3697,São Paulo,SP,Casa e Jardim,Jogo de Panelas,4,271.41,1085.64,0.0,1085.64,pix,entregue
PED00027,2024-10-11,CLI8973,Goiânia,GO,Livros,Python para Dados,4,102.82,411.28,45.07,366.21,cartão crédito,entregue
PED00028,2024-06-09,CLI1821,São Paulo,SP,Esporte,Bicicleta MTB,1,1784.61,1784.61,0.0,1784.61,pix,entregue
PED00029,2024-04-05,CLI2113,Rio de Janeiro,RJ,Alimentos,Azeite Importado,2,42.84,85.68,0.0,85.68,boleto,processando
PED00030,2024-10-23,CLI1651,Belém,PA,Casa e Jardim,Aspirador Robo,1,1164.96,1164.96,0.0,1164.96,pix,entregue
PED00031,2024-05-13,CLI6147,Curitiba,PR,Livros,Sapiens,5,68.26,341.3,0.0,341.3,cartão crédito,entregue
PED00032,2024-01-05,CLI2638,Recife,PE,Livros,O Senhor dos Aneis,3,87.43,262.29,36.82,225.47,cartão crédito,cancelado
PED00033,2024-02-05,CLI7054,Curitiba,PR,Casa e Jardim,Vaso Decorativo,3,50.6,151.8,0.0,151.8,cartão débito,entregue
PED00034,2024-01-05,CLI5905,Goiânia,GO,Brinquedos,Carrinho Hot Wheels,3,46.41,139.23,13.66,125.57,boleto,entregue
PED00035,2024-05-24,CLI4450,Belém,PA,Calçados,Sandalia Havaianas,1,83.38,83.38,1.94,81.44,boleto,entregue
PED00036,2024-01-27,CLI7939,Rio de Janeiro,RJ,Casa e Jardim,Vaso Decorativo,3,80.43,241.29,0.0,241.29,cartão débito,entregue
PED00037,2024-08-14,CLI8007,Manaus,AM,Eletrônicos,Fone Bluetooth,2,309.28,618.56,0.0,618.56,pix,entregue
PED00038,2024-03-16,CLI3088,Fortaleza,CE,Roupas,Camiseta Polo,2,109.1,218.2,19.07,199.13,cartão crédito,entregue
PED00039,2024-02-22,CLI7658,Salvador,BA,Beleza,Perfume Importado,3,168.32,504.96,0.0,504.96,pix,em transporte
PED00040,2024-01-13,CLI6442,Belo Horizonte,MG,Calçados,Tenis Nike,2,591.67,1183.34,156.45,1026.89,pix,processando
PED00041,2024-01-20,CLI4644,Recife,PE,Casa e Jardim,Aspirador Robo,2,1072.42,2144.84,0.0,2144.84,cartão crédito,processando
PED00042,2024-12-03,CLI7528,Curitiba,PR,Brinquedos,Boneca Barbie,3,178.46,535.38,17.9,517.48,cartão débito,entregue
PED00043,2024-10-01,CLI1452,Salvador,BA,Roupas,Calça Jeans,3,189.05,567.15,0.0,567.15,cartão crédito,entregue
PED00044,2024-06-25,CLI6139,Florianópolis,SC,Calçados,Bota Couro,3,211.48,634.44,0.0,634.44,pix,cancelado
PED00045,2024-01-23,CLI8144,Florianópolis,SC,Alimentos,Cafe Premium 500g,4,65.98,263.92,0.0,263.92,cartão crédito,cancelado
PED00046,2024-12-06,CLI6143,Salvador,BA,Alimentos,Azeite Importado,2,58.21,116.42,0.0,116.42,boleto,processando
PED00047,2024-12-22,CLI3085,Porto Alegre,RS,Roupas,Vestido Floral,3,186.35,559.05,27.35,531.7,cartão crédito,entregue
PED00048,2024-10-07,CLI5978,São Paulo,SP,Livros,Sapiens,2,70.78,141.56,0.0,141.56,cartão débito,entregue
PED00049,2024-08-14,CLI4501,Goiânia,GO,Livros,Sapiens,5,72.74,363.7,0.0,363.7,pix,entregue
PED00050,2024-02-17,CLI6085,Curitiba,PR,Calçados,Bota Couro,1,285.14,285.14,26.49,258.65,cartão crédito,processando
PED00051,2024-02-07,CLI7790,Recife,PE,Casa e Jardim,Jogo de Panelas,1,161.55,161.55,14.81,146.74,boleto,cancelado
PED00052,2024-12-01,CLI1090,Florianópolis,SC,Casa e Jardim,Vaso Decorativo,4,79.55,318.2,0.0,318.2,cartão crédito,processando
PED00053,2024-10-12,CLI2988,Curitiba,PR,Livros,O Senhor dos Aneis,2,108.25,216.5,15.09,201.41,pix,entregue
PED00054,2024-08-14,CLI9270,Belém,PA,Brinquedos,Carrinho Hot Wheels,5,59.58,297.9,0.0,297.9,pix,processando
